customer_id,customer_name,age,monthly_income,avg_monthly_balance,transaction_frequency,avg_transaction_amount,account_type,credit_score,has_credit_card,has_personal_loan
CUST_1001,Allison Hill,63,10541.42,75579.23,12,1064.31,Checking,693,True,True
CUST_1002,Noah Rhodes,49,11628.8,89641.0,19,472.84,Checking,833,False,False
CUST_1003,Angie Henderson,42,7423.02,56038.31,13,724.83,Savings,761,False,False
CUST_1004,Daniel Wagner,55,7249.05,56850.72,8,1428.12,Savings,629,False,False
CUST_1005,Cristian Santos,53,11087.38,70631.12,8,1435.74,Checking,815,True,False
CUST_1006,Connie Lawrence,57,10618.72,80731.06,8,1327.64,Premium,850,True,True
CUST_1007,Abigail Shaffer,45,10521.86,91218.15,14,909.91,Premium,849,True,True
CUST_1008,Gina Moore,45,10721.77,114507.12,10,1185.69,Checking,746,False,False
CUST_1009,Gabrielle Davis,58,8583.28,102153.19,11,1198.92,Savings,689,True,False
CUST_1010,Ryan Munoz,58,10483.86,81801.23,11,852.49,Checking,742,True,False
CUST_1011,Monica Herrera,37,10610.57,84619.68,12,1651.02,Savings,754,True,True
CUST_1012,Jamie Arnold,56,8511.77,64949.41,15,1463.21,Savings,786,True,False
CUST_1013,Lisa Hensley,36,13887.03,84629.74,11,1133.71,Checking,632,True,True
CUST_1014,Michele Williams,58,10987.15,79226.83,17,1208.07,Premium,670,True,False
CUST_1015,Dylan Miller,64,7518.12,91454.37,13,1262.51,Savings,712,False,True
CUST_1016,Brian Ramirez,36,11367.82,68455.38,13,587.48,Checking,728,False,True
CUST_1017,Holly Wood,55,7969.41,95386.93,8,1125.85,Savings,752,True,False
CUST_1018,Derek Zuniga,67,11639.76,115654.78,9,995.4,Savings,702,True,False
CUST_1019,Lisa Jackson,46,12413.74,82824.8,10,899.51,Savings,752,True,False
CUST_1020,Carla Gray,56,8290.25,93034.23,7,1115.67,Savings,723,True,True
CUST_1021,Margaret Hawkins DDS,59,12007.03,98802.88,15,1739.31,Checking,689,True,True
CUST_1022,Patty Perez,61,10859.96,76975.59,9,1392.25,Checking,597,True,False
CUST_1023,Ethan Adams,62,11712.63,89481.85,14,1028.65,Savings,664,True,True
CUST_1024,Tommy Walter,50,13951.65,85251.85,14,1371.77,Checking,733,True,False
CUST_1025,Matthew Foster,49,9488.77,86953.52,9,1619.81,Checking,737,True,False
CUST_1026,Judy Baker,37,8429.72,69539.8,13,1477.39,Checking,636,False,False
CUST_1027,Justin Baker,41,8146.84,85490.2,8,1217.89,Savings,660,False,False
CUST_1028,Stephanie Ross,55,8300.4,94959.97,12,1005.92,Checking,694,True,False
CUST_1029,Zachary Hicks,43,9839.37,114022.87,18,1409.47,Savings,711,True,False
CUST_1030,Anthony Rodriguez,52,10710.73,104185.42,14,1318.05,Savings,711,False,True
CUST_1031,Rebecca Henderson,38,10576.44,128063.65,13,1468.56,Premium,581,False,True
CUST_1032,James Ferrell,59,11723.3,69653.05,11,1390.55,Checking,701,True,True
CUST_1033,Tricia Valencia,48,10027.09,102446.41,11,1514.87,Savings,787,True,False
CUST_1034,Nathan Maldonado,43,13028.2,88666.84,17,1039.43,Savings,761,True,False
CUST_1035,Debra Davidson,60,9448.63,128796.06,13,1595.22,Savings,666,True,False
CUST_1036,Jeffrey Chavez,36,15667.02,68834.03,5,1259.28,Checking,689,True,True
CUST_1037,Sherri Baker,54,11303.47,68205.56,15,1822.58,Savings,621,True,False
CUST_1038,Cassandra Gaines,62,8214.26,73012.15,10,993.24,Premium,687,False,False
CUST_1039,Elizabeth Fowler,41,7768.97,42522.09,12,1720.79,Savings,631,False,False
CUST_1040,Brittany Farmer,42,11005.15,74484.9,10,1259.37,Checking,603,False,False
CUST_1041,Paula Moreno,69,9534.45,69817.35,15,1004.57,Checking,629,False,True
CUST_1042,Fred Smith,48,11487.5,88007.88,9,1054.83,Savings,686,True,False
CUST_1043,Sherry Decker,51,10985.91,91835.12,8,1103.9,Savings,721,True,True
CUST_1044,Anthony Humphrey,38,9848.27,122523.42,12,1327.25,Savings,773,False,False
CUST_1045,Angelica Tucker,36,8235.85,104008.48,18,1356.85,Checking,647,True,False
CUST_1046,Philip Cannon,40,6844.07,73461.93,13,1027.89,Checking,709,False,False
CUST_1047,John Pierce,38,9069.76,67031.71,8,1192.69,Savings,602,True,True
CUST_1048,Shane Henderson,63,11784.16,94838.38,12,1842.68,Savings,615,True,True
CUST_1049,Joshua Blair,52,10446.03,58595.34,9,1718.26,Savings,621,False,True
CUST_1050,Eric Carney,60,7404.71,121629.18,9,1330.9,Savings,771,True,True
CUST_1051,Jessica Holmes,68,10360.79,108588.8,13,1211.4,Checking,715,True,False
CUST_1052,Danny Morgan,44,10802.74,75616.49,15,1236.01,Savings,768,True,True
CUST_1053,Crystal Robinson,48,8158.63,50737.31,12,1384.06,Savings,839,False,True
CUST_1054,Mark Perez,65,10320.26,112077.45,11,893.16,Checking,598,True,False
CUST_1055,Shannon Jones,49,10121.27,82709.2,8,1122.79,Savings,644,True,False
CUST_1056,Michael Lewis,42,7618.81,109756.33,11,699.42,Savings,691,True,False
CUST_1057,Timothy Duncan,48,10745.39,53111.45,13,1319.77,Checking,607,False,False
CUST_1058,Richard Aguirre,57,11168.3,73012.5,14,1394.16,Savings,705,True,False
CUST_1059,Brent Jordan,55,12256.36,85104.87,9,1055.04,Savings,682,True,False
CUST_1060,John Daniel,50,12195.42,85939.61,15,1672.2,Savings,787,True,True
CUST_1061,Victoria Garcia,52,7129.86,75998.69,14,832.27,Savings,757,True,True
CUST_1062,Gerald Hensley,58,8046.2,97457.0,7,760.69,Savings,642,True,False
CUST_1063,Connor West,60,11072.99,63647.59,16,1267.34,Savings,749,False,False
CUST_1064,Donald Wright,59,11070.39,82152.41,14,1514.13,Savings,683,False,False
CUST_1065,Jessica Callahan,63,11073.02,87405.91,10,1705.18,Checking,636,True,False
CUST_1066,Amber Kidd,49,18026.52,95288.78,9,1062.33,Checking,659,True,False
CUST_1067,Tracy House,35,11189.36,99232.3,8,1523.6,Savings,755,True,False
CUST_1068,Carol Tucker,59,12365.76,62507.16,11,1188.45,Savings,726,True,False
CUST_1069,James Brown,41,11987.5,54317.72,16,1148.21,Premium,719,True,False
CUST_1070,William Baker,43,11357.07,110553.54,9,1465.1,Checking,671,False,False
CUST_1071,Jordan Henderson,58,9343.19,91646.28,13,1395.7,Savings,663,True,False
CUST_1072,Whitney Peters,35,11581.19,70030.27,13,727.08,Savings,686,True,True
CUST_1073,Brittney Phillips,42,8389.95,116023.04,12,1642.96,Savings,647,False,False
CUST_1074,Lauren Daniels,58,9506.63,87313.49,15,1614.03,Savings,735,False,False
CUST_1075,Amy Silva,45,8988.83,108585.94,17,1012.33,Checking,654,True,False
CUST_1076,Sarah Moore,51,10170.57,86350.37,11,1318.74,Savings,748,True,False
CUST_1077,Angela Lopez,42,14822.21,126214.96,9,1348.21,Checking,795,False,False
CUST_1078,Megan Young,69,6250.0,120106.82,13,1278.2,Savings,696,True,False
CUST_1079,Steve Sanchez,69,11429.71,80020.72,8,1034.91,Savings,657,True,False
CUST_1080,Lisa Barnes,67,6640.18,104431.42,7,998.51,Savings,669,False,False
CUST_1081,Kelly Donovan,39,9016.81,97907.52,9,1192.33,Savings,717,True,False
CUST_1082,Mike Allen,62,12268.65,112372.63,9,1551.82,Savings,756,False,True
CUST_1083,Michael Evans,41,10133.92,65701.53,17,1363.08,Checking,834,True,False
CUST_1084,Paul Jones,43,7754.7,98721.03,13,1088.82,Checking,662,True,False
CUST_1085,Zachary Ferrell,42,8509.78,106168.49,11,1431.51,Savings,709,False,False
CUST_1086,Daniel Baker,46,11415.83,49825.21,12,345.44,Savings,768,True,False
CUST_1087,Shirley Suarez,68,8478.4,61334.83,8,1544.63,Checking,718,False,False
CUST_1088,Christopher Bass,67,10450.96,44215.36,6,678.09,Checking,617,True,True
CUST_1089,Lisa Archer,57,10094.94,79611.86,9,1091.27,Checking,693,False,False
CUST_1090,Aimee Montoya,58,8642.5,99350.85,10,864.1,Premium,680,False,False
